Nombre,Genero,FechaComienzo,UltimoLogin,Salario,Bonus %,Manager,Equipo
Craig,Hombre,2/27/2000,7:45 AM,37598,7.757,true,Marketing
Scott,,7/11/1991,6:58 PM,122367,5.218,false,Legal
Terry,Hombre,11/27/1981,6:30 PM,124008,13.464,true,Servicio al Cliente
Benjamin,Hombre,1/26/2005,10:06 PM,79529,7.008,true,Legal
Christina,Mujer,8/6/2002,1:19 PM,118780,9.096,true,Ingeniería
Joyce,,2/20/2005,2:40 PM,88657,12.752,false,Producto
,Hombre,8/21/1998,2:27 PM,122340,6.417,,
Jean,Mujer,12/18/1993,9:07 AM,119082,16.18,false,Desarrollo de Negocio
Jerry,Hombre,1/10/2004,12:56 PM,95734,19.096,false,Servicio al Cliente
Theresa,Mujer,10/10/2006,1:12 AM,85182,16.675,false,Ventas
Rachel,Mujer,2/16/2009,8:47 PM,142032,12.599,false,Desarrollo de Negocio
Linda,Mujer,10/19/1981,8:49 PM,57427,9.557,true,Servicio al Cliente
Stephanie,Mujer,9/13/1986,1:52 AM,36844,5.574,true,Desarrollo de Negocio
,Hombre,1/29/2016,2:33 AM,122173,7.797,,Servicio al Cliente
Michael,Hombre,10/10/2008,11:25 AM,99283,2.665,true,Distribución
Christine,,6/28/2015,1:08 AM,66582,11.308,true,Desarrollo de Negocio
Beverly,Mujer,9/9/1998,8:26 PM,121918,15.835,false,Legal
Marilyn,Mujer,12/7/1980,3:16 AM,73524,5.207,true,Marketing
Cynthia,Mujer,11/16/1988,6:54 PM,145146,7.482,true,Producto
Roger,Hombre,4/17/1980,11:32 AM,88010,13.886,true,Ventas
Bruce,Hombre,11/28/2009,10:47 PM,114796,6.796,false,Finanzas
Kathy,Mujer,6/22/2005,4:51 AM,66820,9.0,true,Servicio al Cliente
Clarence,Hombre,3/26/1996,5:57 AM,93581,6.083,true,Desarrollo de Negocio
Chris,,1/24/1980,12:13 PM,113590,3.055,false,Ventas
Nancy,Mujer,9/23/2000,8:05 AM,94976,13.83,true,Ingeniería
,,12/17/2011,8:29 AM,41126,14.009,,Ventas
Todd,Hombre,2/18/1990,2:41 AM,49339,1.695,true,Recursos Humanos
Alan,,3/3/2014,1:28 PM,40341,17.578,true,Finanzas
Sara,Mujer,8/15/2007,9:23 AM,83677,8.999,false,Ingeniería
Karen,Mujer,11/30/1999,7:46 AM,102488,17.653,true,Producto
Carl,Hombre,5/3/2006,5:55 PM,130276,16.084,true,Finanzas
Henry,Hombre,6/26/1996,1:44 AM,64715,15.107,true,Recursos Humanos
Theresa,Mujer,4/11/2010,7:18 AM,72670,1.481,true,Ingeniería
Irene,Mujer,5/7/1997,9:32 AM,66851,11.279,false,Ingeniería
Paula,,11/23/2005,2:01 PM,48866,4.271,false,Distribución
Denise,Mujer,11/6/2001,12:03 PM,106862,3.699,false,Desarrollo de Negocio
,Mujer,6/12/2007,5:25 PM,58112,19.414,,Marketing
Matthew,Hombre,1/2/2013,10:33 PM,35203,18.04,false,Recursos Humanos
Kathleen,,4/11/1990,6:46 PM,77834,18.771,false,Desarrollo de Negocio
Steve,Hombre,11/11/2009,11:44 PM,61310,12.428,true,Distribución
Nancy,Mujer,12/15/2012,11:57 PM,125250,2.672,true,Desarrollo de Negocio
Rachel,Mujer,8/16/1999,6:53 AM,51178,9.735,true,Finanzas
Jose,Hombre,10/30/2004,1:39 PM,84834,14.33,true,Finanzas
Irene,,7/14/2015,4:31 PM,100863,4.382,true,Finanzas
Todd,,6/10/2003,2:26 PM,84692,6.617,false,Servicio al Cliente
Johnny,Hombre,11/6/2009,4:23 PM,118172,16.194,true,Ventas
Bobby,Hombre,5/7/2007,10:01 AM,54043,3.833,false,Producto
Frances,Mujer,4/4/1999,4:19 PM,90582,4.709,true,Ventas
Thomas,Hombre,6/4/1995,2:24 PM,62096,17.029,false,Marketing
Bonnie,Mujer,7/2/1991,1:27 AM,104897,5.118,true,Recursos Humanos
Margaret,Mujer,9/10/1988,12:42 PM,131604,7.353,true,Distribución
Charles,Hombre,9/14/2004,8:13 PM,107391,1.26,true,Marketing
Robin,Mujer,6/4/1983,3:15 PM,114797,5.965,true,Ventas
Bonnie,Mujer,11/13/1988,3:30 PM,115814,4.99,false,Producto
Gerald,,3/17/1995,12:50 AM,137126,15.602,true,Ventas
Christopher,Hombre,3/30/2008,10:52 AM,47369,14.822,false,Legal
Steven,Hombre,3/30/1980,9:20 PM,35095,8.379,true,Servicio al Cliente
Shawn,Hombre,9/23/2005,2:55 AM,148115,6.539,true,Finanzas
Doris,Mujer,8/20/2004,5:51 AM,83072,7.511,false,Finanzas
Jeremy,Hombre,2/1/2008,8:50 AM,100238,3.887,true,Servicio al Cliente
Annie,,9/29/2007,12:11 AM,103495,17.29,true,Desarrollo de Negocio
Annie,Mujer,1/30/1993,2:05 AM,144887,8.276,true,Ventas
Donna,Mujer,11/27/1991,1:59 PM,64088,6.155,true,Legal
Janice,Mujer,3/12/2016,12:40 AM,51082,11.955,false,Legal
Janice,,8/21/1997,5:12 AM,91719,11.583,true,Legal
James,,1/26/2005,11:00 PM,128771,8.309,false,
Linda,Mujer,5/25/2000,5:45 PM,119009,12.506,true,Desarrollo de Negocio
Virginia,,5/7/1994,5:58 PM,111858,1.601,true,Legal
Harry,Hombre,8/26/1981,3:16 PM,130620,7.03,false,Legal
Heather,Mujer,7/11/1998,2:17 PM,43026,14.166,false,Servicio al Cliente
Cynthia,Mujer,3/21/1994,8:34 AM,142321,1.737,false,Finanzas
Laura,,7/19/2014,9:23 PM,140371,10.62,true,Marketing
Tina,Mujer,6/16/2016,7:47 PM,100705,16.961,true,Marketing
Harold,Hombre,1/2/1985,9:40 PM,77544,12.447,false,Desarrollo de Negocio
Melissa,Mujer,6/21/2005,6:33 AM,48109,14.995,false,Finanzas
Aaron,Hombre,2/17/2012,10:20 AM,61602,11.849,true,Marketing
Jack,Hombre,1/12/1997,5:51 AM,103902,12.159,false,Servicio al Cliente
Phyllis,Mujer,10/11/1996,9:30 PM,136984,8.932,true,Finanzas
John,Hombre,12/23/1989,7:01 AM,80740,19.305,false,Marketing
Kathy,Mujer,3/9/1996,4:33 AM,91712,8.567,false,Finanzas
Paul,Hombre,8/4/1993,7:25 PM,42146,3.046,false,Legal
Steven,Hombre,4/23/2013,10:12 PM,68680,16.565,false,Legal
Russell,,5/5/1988,7:57 AM,133980,12.396,true,Legal
Christopher,Hombre,4/22/2000,10:15 AM,37919,11.449,false,
Shirley,Mujer,6/20/2001,10:39 PM,147113,16.135,false,Legal
Bonnie,Mujer,12/17/1999,3:12 PM,42153,8.454,true,Desarrollo de Negocio
Willie,Hombre,11/27/2003,6:21 AM,64363,4.023,false,Marketing
Tina,Mujer,6/12/2009,7:16 AM,114767,3.711,true,Ingeniería
Ashley,Mujer,8/4/2002,11:00 AM,58698,6.811,true,Desarrollo de Negocio
Pamela,Mujer,7/1/1982,6:51 AM,54585,4.166,false,Producto
,Hombre,6/22/1991,8:58 PM,76189,18.988,,Legal
Steven,Hombre,3/1/1995,3:03 PM,109095,9.494,false,Finanzas
Andrea,Mujer,1/12/2012,5:43 AM,120204,9.557,false,Desarrollo de Negocio
Paul,Hombre,6/3/2008,3:05 PM,41054,12.299,false,Marketing
Peter,Hombre,11/17/1994,6:15 PM,84885,15.402,false,Desarrollo de Negocio
Kathleen,,5/9/2016,8:55 AM,119735,18.74,false,Producto
Christina,Mujer,4/13/2012,2:04 PM,110169,13.892,true,Ingeniería
Helen,Mujer,11/29/2001,2:30 AM,73789,14.841,true,Producto
Marilyn,Mujer,11/16/1983,8:29 AM,76078,2.401,true,Producto
Patricia,Mujer,9/1/2003,6:46 AM,49368,14.226,false,Recursos Humanos
Michelle,Mujer,3/30/1984,6:43 PM,57325,17.179,true,Recursos Humanos
William,Hombre,9/29/2002,4:09 PM,66521,5.83,false,Recursos Humanos
Kenneth,Hombre,8/25/1987,9:16 PM,127654,16.439,true,Servicio al Cliente
Antonio,Hombre,10/25/1988,1:50 PM,60866,13.101,true,Desarrollo de Negocio
Shirley,Mujer,5/1/1984,1:15 PM,41334,6.219,true,Recursos Humanos
Rebecca,Mujer,7/10/1992,12:23 AM,94231,17.517,false,Producto
Carlos,Hombre,1/4/1995,7:02 AM,146670,10.763,false,Recursos Humanos
Lois,Mujer,12/25/1987,4:16 PM,106317,2.235,true,Servicio al Cliente
Carolyn,Mujer,4/9/2011,5:38 AM,109260,2.65,true,Desarrollo de Negocio
Gloria,Mujer,6/29/2007,5:34 AM,134148,8.833,true,Legal
Henry,Hombre,4/24/1995,4:18 AM,43542,19.687,false,Legal
Adam,Hombre,5/21/2011,1:45 AM,95327,15.12,false,Distribución
Ashley,Mujer,5/25/2006,11:30 AM,112238,6.03,true,Ingeniería
,Mujer,10/3/1990,1:08 AM,132373,10.527,,
Shirley,Mujer,2/28/1981,1:23 PM,113850,1.854,false,Marketing
Adam,Hombre,12/24/1990,8:57 PM,110194,14.727,true,Producto
Elizabeth,Mujer,10/9/2003,5:53 PM,146129,5.687,false,Finanzas
Teresa,,1/28/2016,10:55 AM,140013,8.689,true,Ingeniería
Nicole,,3/5/1982,2:28 PM,122717,12.452,false,Ventas
Jennifer,Mujer,4/4/2009,10:47 PM,71715,13.079,true,Servicio al Cliente
Patricia,Mujer,11/25/1992,2:24 AM,95322,4.15,false,Producto
Philip,Hombre,7/17/2008,1:30 PM,89227,3.996,false,Legal
Patrick,,7/14/1991,2:24 AM,124488,14.837,true,Ventas
,Mujer,8/17/2014,2:00 PM,86230,8.578,,Distribución
Sean,Hombre,5/4/1996,8:59 PM,135490,19.934,false,Marketing
Brandon,,11/3/1997,8:17 PM,121333,15.295,false,Desarrollo de Negocio
Ruth,Mujer,8/19/1999,4:03 AM,129297,8.067,true,Servicio al Cliente
Victor,,3/10/2011,8:40 PM,84546,10.489,true,Finanzas
Rebecca,Mujer,11/15/1980,4:13 AM,85730,5.359,true,Producto
Marie,Mujer,3/16/2003,12:12 AM,104058,17.695,true,Desarrollo de Negocio
Howard,Hombre,4/27/1992,1:10 AM,105062,1.563,false,Recursos Humanos
,Mujer,7/27/2005,8:32 AM,79536,14.443,,Producto
Norma,Mujer,2/28/1999,8:45 PM,114412,8.756,true,Marketing
James,,11/22/1983,10:52 PM,68501,14.316,false,Marketing
Kathy,Mujer,3/18/2000,7:26 PM,149563,16.991,true,Finanzas
Marilyn,,8/22/1999,9:09 AM,103386,11.451,false,Distribución
Arthur,Hombre,4/13/1998,11:28 AM,89786,14.422,true,Legal
Terry,Hombre,9/3/1990,9:15 PM,52226,19.135,false,Servicio al Cliente
Mary,Mujer,8/13/1999,1:03 AM,134645,18.197,false,Desarrollo de Negocio
,Mujer,3/23/2014,1:28 PM,59148,9.061,,Legal
,Mujer,7/9/1991,6:52 PM,42341,7.014,,Ventas
Christopher,Hombre,12/24/2011,12:22 PM,142178,17.984,true,Ventas
Peter,,9/3/1987,5:59 PM,38989,7.017,true,Marketing
Michelle,Mujer,11/4/1996,9:34 PM,53754,5.455,true,Producto
Irene,Mujer,1/29/1992,11:36 AM,133772,19.02,true,Ventas
Patrick,Hombre,8/17/2007,3:16 AM,143499,17.495,true,Ingeniería
Sara,Mujer,9/23/1991,6:17 PM,97058,9.402,false,Finanzas
Lillian,Mujer,12/21/2008,6:51 PM,85446,3.959,true,Ingeniería
,,9/18/2007,6:59 PM,40297,6.185,,Servicio al Cliente
Willie,Hombre,2/17/1998,8:20 PM,146651,1.451,true,Ingeniería
Victor,Hombre,1/8/2003,1:02 PM,124486,10.166,false,Producto
Wayne,Hombre,4/7/2012,8:00 AM,102652,14.085,true,Distribución
Jane,Mujer,9/3/1997,2:01 AM,144474,17.648,false,Producto
Jessica,Mujer,10/23/1995,5:53 AM,68759,19.343,true,Finanzas
Mark,Hombre,4/12/2008,5:40 PM,57286,5.025,true,Desarrollo de Negocio
Randy,Hombre,11/14/1999,12:12 PM,58129,1.952,true,Distribución
Lillian,Mujer,6/19/1999,4:44 PM,123940,12.184,true,Desarrollo de Negocio
Ruth,,5/18/1999,5:56 AM,98233,2.518,true,Distribución
Jerry,Hombre,12/18/2003,6:46 AM,140810,9.177,true,Servicio al Cliente
Sandra,Mujer,1/19/1983,7:25 AM,42090,8.842,true,Legal
,Mujer,2/23/2005,9:50 PM,149654,1.825,,Ventas
Roger,Hombre,11/19/2004,3:55 PM,51430,6.46,false,Marketing
Charles,Hombre,10/14/2000,9:40 PM,71749,15.931,false,Legal
Clarence,Hombre,5/2/1998,3:16 AM,85700,1.215,false,Ventas
Carol,Mujer,3/19/1996,3:39 AM,57783,9.129,false,Finanzas
Lois,Mujer,10/18/2013,4:51 PM,36946,6.652,false,Ingeniería
Barbara,,5/3/2003,7:32 PM,99326,16.475,true,Legal
Rebecca,Mujer,2/18/1995,6:50 AM,109259,4.443,true,Legal
Irene,Mujer,1/30/2004,8:25 PM,131038,8.996,false,Distribución
Ronald,Hombre,4/30/2014,2:19 PM,121068,12.757,true,Producto
Steven,Hombre,11/10/1985,10:53 AM,62719,19.127,false,Servicio al Cliente
Carolyn,Mujer,11/6/2012,3:51 AM,69268,3.031,false,Servicio al Cliente
Maria,Mujer,12/27/1990,9:57 PM,36067,9.64,true,Producto
Jonathan,Hombre,7/17/2009,8:15 AM,130581,16.736,true,
Gary,Hombre,8/12/1987,12:04 AM,89661,8.525,false,Finanzas
Kimberly,Mujer,7/15/1997,5:57 AM,36643,7.953,false,Marketing
Roger,Hombre,11/8/1982,2:32 AM,140558,5.084,true,Ventas
Diana,Mujer,1/4/2013,7:53 AM,103521,2.784,true,Desarrollo de Negocio
Willie,Hombre,6/6/2006,9:45 AM,55281,4.935,true,Marketing
Brandon,Hombre,3/27/2006,5:54 PM,115711,8.012,true,Finanzas
Patricia,Mujer,12/6/2012,4:01 AM,114079,8.399,true,Servicio al Cliente
Katherine,Mujer,11/14/1999,8:15 AM,57531,1.767,false,Servicio al Cliente
Jonathan,Hombre,10/12/1987,2:59 AM,141069,4.903,false,Recursos Humanos
Emily,Mujer,9/20/2007,11:25 AM,89434,11.295,false,Ingeniería
Ruth,Mujer,8/12/1986,7:29 PM,44639,9.148,true,Legal
Linda,Mujer,6/24/2006,12:04 PM,110967,19.612,true,Recursos Humanos
Lisa,Mujer,11/2/2009,9:42 AM,115387,1.821,false,Servicio al Cliente
Evelyn,Mujer,5/24/1980,11:10 PM,81673,15.364,true,Ingeniería
Julie,Mujer,7/23/1989,1:52 PM,109588,3.55,false,Ingeniería
Mary,Mujer,5/30/2009,11:41 PM,92544,3.8,false,Servicio al Cliente
Matthew,Hombre,7/31/2013,8:04 AM,142373,2.462,false,Marketing
Douglas,Hombre,9/3/1999,4:00 PM,83341,1.015,true,Servicio al Cliente
Gregory,,6/15/1992,5:08 AM,98865,10.628,true,Finanzas
Billy,Hombre,3/13/1995,12:05 PM,120444,7.768,true,Finanzas
,Mujer,6/17/1991,12:49 PM,71945,5.56,,Marketing
Gregory,Hombre,1/29/2000,6:01 AM,109564,3.845,false,Legal
Jason,Hombre,10/17/1999,10:09 PM,78417,3.067,false,Finanzas
Daniel,Hombre,4/30/2010,3:48 AM,106947,15.866,true,Legal
Sarah,Mujer,9/14/1995,7:50 AM,87298,2.311,false,Distribución
Harry,Hombre,10/1/2015,7:47 PM,64579,15.266,true,Ventas
Kathy,Mujer,4/19/1995,12:46 AM,50905,9.404,true,Finanzas
Todd,Hombre,4/13/1999,10:31 AM,59728,11.226,true,Servicio al Cliente
Bobby,Hombre,9/23/1994,1:29 AM,51685,17.445,true,Ingeniería
Jeremy,Hombre,6/8/2000,12:15 AM,49542,1.679,true,Distribución
George,,2/24/1988,11:29 AM,38375,8.999,false,Legal
Diane,Mujer,4/18/1993,3:22 AM,64084,17.018,false,Producto
Marilyn,Mujer,4/4/1997,9:28 PM,147663,10.263,false,Recursos Humanos
Kathryn,Mujer,2/4/2004,1:47 PM,73935,14.752,false,Ventas
Irene,Mujer,2/4/1982,5:26 PM,40837,12.182,true,Servicio al Cliente
Norma,Mujer,2/11/2015,11:44 PM,94393,3.643,true,Ingeniería
Laura,Mujer,4/2/2006,1:57 PM,42087,2.624,false,Producto
Cheryl,Mujer,9/23/2008,2:57 AM,52080,9.375,false,Legal
Kevin,Hombre,3/25/1982,7:31 AM,35061,5.128,false,Legal
Lillian,,5/12/2016,3:43 PM,64164,17.612,false,Recursos Humanos
Phyllis,,4/21/1984,7:05 PM,94088,19.107,false,Distribución
Walter,Hombre,7/6/1983,11:54 PM,127813,5.961,false,Finanzas
Robert,Hombre,10/27/1990,7:15 PM,38041,18.428,true,Ingeniería
Jimmy,Hombre,10/7/1986,5:53 PM,126310,5.413,true,Producto
Clarence,Hombre,10/8/1996,12:53 PM,142561,8.866,false,Servicio al Cliente
Victor,Hombre,4/11/1991,7:44 AM,70817,17.138,false,Ingeniería
Fred,,12/2/1984,2:03 PM,59937,12.045,true,Recursos Humanos
Brenda,,7/27/2010,11:07 PM,106115,3.742,true,Producto
Justin,Hombre,12/6/1992,5:58 PM,82782,4.366,true,Distribución
Betty,Mujer,6/12/2002,3:59 AM,104896,19.55,true,Desarrollo de Negocio
Randy,,2/6/1986,3:04 PM,133943,8.94,true,Ventas
Sharon,,3/1/1990,3:46 AM,83658,6.513,false,Desarrollo de Negocio
Ralph,Hombre,11/11/2004,1:35 AM,71896,4.232,true,Marketing
,,4/28/2003,3:01 AM,113732,10.391,,Ventas
Edward,Hombre,5/27/1985,10:13 PM,110485,7.995,false,Servicio al Cliente
Denise,Mujer,3/20/2009,7:57 AM,115118,5.108,false,Recursos Humanos
Debra,Mujer,3/13/1998,11:16 PM,48696,4.75,false,Legal
,Hombre,11/25/1999,6:16 AM,42676,15.517,,Ventas
Michael,Hombre,1/24/2002,3:04 AM,43586,12.659,false,
Henry,Hombre,2/6/1995,8:34 AM,89258,15.585,true,Recursos Humanos
Gloria,Mujer,3/27/2007,1:44 AM,90730,2.491,false,Distribución
Marie,Mujer,8/6/1995,1:58 PM,100308,13.677,false,Producto
Anne,Mujer,7/16/1986,2:08 PM,69134,3.723,true,Ingeniería
Sarah,,11/21/1985,1:08 PM,58295,14.603,true,Ingeniería
Stephanie,Mujer,3/24/1983,11:15 AM,50141,13.218,true,Recursos Humanos
Roy,Hombre,9/23/2004,1:31 PM,101941,3.45,false,Servicio al Cliente
,Mujer,8/5/2009,8:14 AM,115145,14.063,,Distribución
,Hombre,2/4/2005,1:01 PM,40451,16.044,,Distribución
Irene,Mujer,3/3/1982,8:26 AM,56526,5.81,true,Finanzas
,Mujer,8/2/1992,8:35 PM,145316,18.517,,Recursos Humanos
Thomas,Hombre,4/6/2011,1:04 PM,103235,9.554,true,Recursos Humanos
Frank,,11/20/2001,10:18 AM,58563,12.062,true,Marketing
Fred,Hombre,2/20/1980,2:25 AM,74129,18.225,false,Producto
Nicholas,Hombre,4/12/1994,8:21 PM,74669,1.113,true,Producto
Howard,Hombre,10/5/1982,7:22 AM,97490,5.46,true,Marketing
Debra,Mujer,2/22/1994,10:25 PM,104250,18.456,true,Desarrollo de Negocio
Christine,Mujer,7/3/1989,4:01 AM,94345,11.996,false,Finanzas
Brenda,,5/29/1991,6:32 AM,82439,19.062,false,Ventas
Betty,Mujer,6/28/2005,6:03 PM,51613,12.984,false,Distribución
Ruby,Mujer,11/8/2000,7:35 PM,105946,1.139,false,Desarrollo de Negocio
Kevin,Hombre,7/12/1997,2:07 AM,46080,9.635,false,Desarrollo de Negocio
Arthur,Hombre,1/1/2014,7:46 PM,134610,6.147,true,Recursos Humanos
Carl,,2/7/2014,3:57 AM,125104,12.345,false,Servicio al Cliente
Todd,Hombre,3/11/2009,3:43 AM,107281,1.612,true,Ingeniería
Brenda,Mujer,10/6/2005,9:33 PM,141521,4.337,false,Servicio al Cliente
Judy,Mujer,9/16/1997,12:10 AM,65931,2.304,false,Recursos Humanos
Todd,Hombre,2/2/1984,10:13 AM,69989,10.985,true,Finanzas
Lois,Mujer,11/9/2011,7:06 AM,147183,9.999,true,Servicio al Cliente
Walter,,12/21/1999,10:33 PM,66757,18.099,false,Distribución
Jessica,Mujer,9/27/1985,1:35 PM,75145,6.388,true,Legal
Jeremy,Hombre,6/14/1988,6:20 PM,129460,13.657,true,
Tammy,Mujer,11/11/1984,10:30 AM,132839,17.463,true,Servicio al Cliente
Anne,Mujer,3/7/2000,6:45 AM,44537,18.284,true,Servicio al Cliente
Jesse,Hombre,10/25/1999,3:35 PM,118733,9.653,false,Marketing
Virginia,Mujer,10/20/1999,6:23 AM,46905,19.154,false,Distribución
Jesse,Hombre,3/2/1981,7:26 PM,79582,3.873,false,Legal
Jeremy,,11/10/1996,1:49 PM,55394,3.18,true,Ventas
Daniel,Hombre,9/15/2007,10:16 PM,123811,7.664,true,Recursos Humanos
Patrick,,8/30/2004,11:43 AM,137314,4.542,true,Marketing
Emily,Mujer,1/13/1988,6:42 AM,36711,19.028,true,Recursos Humanos
Alan,Hombre,6/26/1988,3:54 AM,111786,3.592,true,Ingeniería
James,Hombre,7/11/2015,8:52 PM,72257,13.023,false,Ingeniería
Adam,Hombre,7/5/2007,11:59 AM,71276,5.027,true,Recursos Humanos
Joan,,7/25/1980,12:22 PM,38712,3.657,false,Servicio al Cliente
Jeremy,Hombre,8/12/1981,12:05 AM,46930,18.702,true,Finanzas
Margaret,Mujer,2/6/1993,1:05 PM,125220,3.733,false,Marketing
Mark,Hombre,4/1/1984,1:21 PM,121477,17.44,true,Desarrollo de Negocio
Marilyn,Mujer,9/26/1981,2:23 AM,86386,2.937,false,Distribución
Cheryl,Mujer,9/8/2009,10:16 AM,81308,2.196,true,Legal
Benjamin,Hombre,9/11/1984,6:37 AM,84810,15.794,false,Marketing
Harold,Hombre,2/20/1990,11:00 PM,66775,2.158,true,Legal
Ernest,,1/18/2002,1:51 AM,72145,13.448,true,Finanzas
Gerald,Hombre,4/16/2001,10:09 PM,121604,1.923,true,Ventas
Judy,Mujer,7/1/1991,2:33 AM,109510,13.457,true,Legal
Bobby,Hombre,3/31/1996,5:40 PM,112117,6.338,false,
Bobby,,9/1/1995,2:09 PM,108127,15.858,false,Servicio al Cliente
Marie,Mujer,10/3/2013,8:05 PM,123711,10.966,false,Producto
Kathy,Mujer,12/18/2013,3:09 PM,132381,8.34,false,Desarrollo de Negocio
Roy,Hombre,8/6/2006,7:52 AM,148225,1.841,false,Finanzas
Jacqueline,Mujer,11/25/1981,3:01 PM,145988,18.243,false,Marketing
,Mujer,7/8/2008,11:40 PM,62960,14.356,,Ventas
Julie,Mujer,3/23/1986,9:26 AM,56926,7.507,false,Ventas
Douglas,Hombre,1/8/2002,6:42 PM,41428,14.372,false,Producto
Linda,Mujer,12/16/1990,2:20 AM,115658,3.041,true,Ventas
Ruby,Mujer,12/10/1988,8:27 PM,76707,6.031,false,Desarrollo de Negocio
Russell,Hombre,1/2/2005,1:48 AM,60388,17.885,false,Servicio al Cliente
Jeffrey,Hombre,6/18/1997,8:01 PM,45150,12.075,true,Producto
Aaron,Hombre,1/29/1994,6:48 PM,58755,5.097,true,Marketing
Samuel,Hombre,12/19/1991,2:54 AM,76076,5.319,true,Finanzas
,Hombre,1/27/2010,2:57 AM,87760,14.987,,Ingeniería
Randy,Hombre,3/16/2014,6:24 PM,135119,7.887,false,Servicio al Cliente
Evelyn,Mujer,9/3/1983,1:58 PM,36759,17.269,true,Marketing
Fred,Hombre,2/13/1987,2:15 PM,121723,18.645,true,Producto
Shirley,Mujer,6/8/1986,2:25 AM,110061,7.494,false,Servicio al Cliente
Todd,Hombre,5/23/2011,4:14 PM,85074,1.844,false,Servicio al Cliente
Robert,Hombre,11/18/2014,5:00 AM,85799,19.93,false,Finanzas
Mark,Hombre,1/22/2007,2:37 PM,75150,12.182,true,Legal
Earl,Hombre,1/5/2000,5:46 PM,91344,4.035,true,Ventas
Richard,Hombre,9/27/2005,1:41 AM,86326,10.717,false,Producto
Michael,Hombre,11/22/1991,12:57 PM,98753,16.443,true,Recursos Humanos
Steven,Hombre,5/12/2009,2:14 PM,113060,2.846,true,Ventas
Carlos,Hombre,9/19/2007,1:01 AM,77327,11.58,true,Finanzas
Marie,Mujer,10/20/2011,10:09 PM,62666,10.247,false,Producto
Ronald,Hombre,2/24/2009,2:09 PM,96633,4.99,true,Ingeniería
Scott,Hombre,5/12/2009,4:36 AM,58248,3.914,false,Desarrollo de Negocio
Steven,Hombre,11/21/2006,8:30 AM,83706,6.96,true,Recursos Humanos
James,Hombre,11/22/1998,3:48 AM,74086,5.778,true,Recursos Humanos
Lori,Mujer,3/31/1988,10:59 PM,95389,14.223,false,Ventas
Philip,Hombre,8/2/1989,11:21 AM,129968,19.897,false,Finanzas
Phyllis,Mujer,11/24/2005,11:57 PM,140347,8.723,false,Ventas
Thomas,,8/31/1995,8:31 PM,41549,3.95,false,Ventas
Cynthia,Mujer,12/3/2012,11:03 PM,74287,10.751,false,Ventas
,Hombre,10/9/2011,9:29 AM,69906,4.844,,Ingeniería
,Hombre,4/22/1997,9:36 PM,65078,3.095,,Marketing
Elizabeth,Mujer,11/10/2005,4:56 AM,106406,1.782,true,Legal
Andrea,Mujer,9/14/2003,10:30 PM,115913,12.121,false,Legal
Judy,Mujer,2/1/1990,3:32 PM,38092,5.668,false,Distribución
Russell,Hombre,8/13/2014,3:51 PM,121160,7.843,false,Ingeniería
Scott,Hombre,12/17/2011,3:45 AM,90429,4.45,false,Producto
Sarah,Mujer,5/22/1994,7:06 AM,64207,7.824,true,Servicio al Cliente
Susan,Mujer,9/25/2004,1:30 AM,80688,18.892,true,Ventas
Margaret,Mujer,5/5/2014,6:01 AM,55044,4.078,false,Ventas
Joshua,Hombre,11/9/2009,6:32 AM,72893,9.555,false,Distribución
